"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263"
18,0,0,1146,0,0,683,3,0,27,1,106,4047,8,0,0,110,1,4,1,2,15,2,1231,395,6,0,26,2,0,0,0,479,10,2,53,191,2,3,266,937,411,5477,1,869,1,2,13310,155,4045,1,288,2,33,2,9,0,0,0,2,88,13,4,1,429,136,3,11397,9,59,2,2,0,991,2130,9,2,0,12008,292,1,90,42,0,7,1,3724,1891,40,8782,1,21,20,0,68,0,373,2,0,8534,16,5,0,0,0,71,11746,1,0,0,1,225,8135,6098,0,310,0,1,6,1,5,2,8,10,3296,2,28,0,177,32,2,6925,71,14,6,4,5544,9795,0,8898,10928,12374,4745,4866,569,415,0,4952,2,3,3360,313,0,1,1,0,16,5395,16,18,18943,17692,13290,11401,4,2188,10,55,5,16052,2,1,8,3,0,0,9,5,283,1,453,3,0,0,2,14207,0,55,145,11,4,4,102,11,21,34,14,11,0,3,0,26,5,0,0,0,47,1,796,1,3993,4,2,0,26,16,46,3,11,4,2,0,245,1330,52,757,5,45,9638,15731,9667,721,6764,16335,4,17083,19178,8110,10524,0,5,5,74,304,0,6687,40,2,8923,6,0,1,2,0,542,546,21,4,0,224,1940,5475,7458
18,0,1,1585,0,1,830,12,0,30,3,126,3944,26,0,2,131,2,4,2,3,10,1,1339,455,4,0,23,2,0,0,1,566,16,2,91,243,5,3,276,1199,513,5749,0,1077,0,1,14588,218,4625,3,312,2,37,3,18,0,1,0,0,121,18,2,1,502,200,2,12093,12,59,2,12,0,1283,2635,22,1,3,14911,329,0,103,63,0,15,1,3968,1788,78,9624,5,20,31,0,86,6,376,2,0,8220,4,3,0,0,0,69,12756,0,0,0,2,315,8649,6991,0,404,0,2,10,4,3,1,6,5,3031,3,31,0,228,34,8,7205,56,20,8,6,6466,8214,2,8937,11682,13004,5171,5624,639,477,3,6502,3,3,3775,357,3,0,0,0,15,6262,11,22,17034,15699,12357,11739,4,2245,8,77,6,16392,4,0,15,4,1,0,7,9,345,3,499,5,0,0,1,15270,0,56,135,19,2,2,123,33,24,53,9,16,0,7,1,28,1,0,2,0,49,0,840,1,4110,2,3,0,14,16,36,2,13,8,0,2,356,1576,64,777,5,44,9899,14914,9613,902,7187,16292,7,17285,18449,8567,11158,0,4,4,64,357,0,7234,39,1,10696,2,0,1,1,1,684,644,25,8,4,242,2002,6032,8696
19,0,1,2372,0,1,1208,8,1,23,22,75,2921,31,6,6,264,9,6,7,7,8,1,1400,515,11,0,33,2,0,0,1,482,8,2,256,405,0,5,268,1318,553,5090,0,1192,0,7,15919,310,4863,0,276,4,34,3,25,0,0,0,5,225,36,13,0,467,149,2,12562,24,53,6,9,3,1394,2444,16,3,4,22508,750,2,219,99,0,18,0,3270,920,84,10355,3,29,40,2,97,5,476,4,0,6812,2,2,1,0,0,113,13485,0,0,0,0,596,8783,8580,0,440,0,0,10,4,9,1,4,0,2446,10,63,2,406,31,2,6605,35,30,7,9,6990,3915,0,6496,11731,13523,4520,7406,1054,598,5,10627,0,2,3795,373,2,0,3,0,24,6977,28,10,12500,10898,10885,10869,6,2020,4,138,13,13940,3,1,29,3,1,0,9,3,458,4,794,7,2,1,1,13538,0,77,256,26,3,4,175,7,34,50,20,34,0,7,2,44,2,0,3,0,3,6,771,0,4866,9,12,0,6,19,65,2,11,19,0,0,415,1984,105,1037,5,68,9007,14775,8135,1351,5818,14460,10,13871,13815,7575,12048,1,9,6,106,314,0,7984,60,5,13674,7,0,1,0,2,1454,1238,25,16,6,363,1943,5549,10314
38,0,3,2213,0,0,1173,8,0,46,5,98,2655,22,2,2,252,1,3,2,2,9,1,1241,462,11,1,32,3,0,1,1,424,9,7,300,447,3,6,291,1138,507,4575,0,1372,0,4,13444,311,4587,2,298,2,26,3,19,0,0,0,2,202,28,4,0,463,136,5,11341,19,67,1,2,2,1247,2090,12,4,5,20049,800,0,157,61,0,9,1,2534,898,68,8894,4,20,46,1,96,6,490,3,0,5943,25,7,0,0,0,158,10757,0,0,0,1,588,7559,8062,1,405,0,0,7,4,7,2,4,4,2081,5,42,0,308,46,3,7943,23,28,10,5,5451,8410,0,5576,9849,10697,4409,6735,860,515,0,11883,2,5,3733,365,6,0,2,0,24,6949,23,6,9716,9158,8612,9629,8,1872,11,97,7,11143,2,3,17,4,2,0,11,12,397,7,730,1,1,2,1,11699,0,92,268,24,1,4,144,15,40,47,23,32,0,5,1,45,2,0,2,0,2,4,719,1,4236,8,0,2,15,21,61,2,14,5,0,1,407,1716,110,898,10,52,7205,12762,7135,1252,4480,12149,6,11594,11102,7123,11002,0,4,2,101,294,0,6496,38,2,11803,2,1,1,2,0,1467,1143,21,11,2,315,1793,4702,8464
26,0,1,658,0,1,657,2,2,31,0,48,2204,4,0,0,82,8,1,4,0,17,2,803,264,6,0,29,4,0,0,1,342,14,1,33,92,1,1,232,915,431,2964,0,480,0,8,7209,92,2286,0,213,2,18,2,10,0,0,0,2,75,10,3,1,265,96,1,5333,14,46,2,2,4,1088,1944,7,6,3,5773,142,0,158,50,0,10,1,1620,585,35,4547,6,24,13,3,90,1,192,2,0,4450,1,4,0,0,0,57,6002,0,1,0,3,146,4114,2376,0,291,1,0,3,5,4,0,3,3,1319,2,15,1,257,38,3,4230,22,29,13,6,3675,3342,2,5781,6645,6572,2931,1871,320,292,3,1908,4,0,2340,316,0,1,3,1,12,2359,19,4,7574,7350,5487,4645,8,1378,9,61,7,7923,0,0,17,6,0,0,7,5,279,0,239,3,0,0,3,7948,0,28,57,6,4,4,120,11,23,54,21,8,1,2,0,20,0,0,1,0,84,1,385,3,1405,4,2,0,13,16,28,2,14,6,0,0,320,865,37,582,5,26,4762,6483,4057,365,3523,6582,8,10398,9992,4739,6311,2,4,6,68,296,1,2882,38,1,3899,2,1,6,4,4,312,302,17,6,2,246,809,3490,4736
3,0,0,374,0,0,394,1,0,3,2,24,1008,15,0,0,62,4,3,1,2,5,0,425,138,2,0,15,2,0,1,3,139,4,1,14,46,0,1,81,476,219,2679,0,279,0,5,4243,79,1060,2,92,0,11,1,9,0,0,0,3,35,14,11,0,144,27,1,2670,10,11,1,1,0,514,946,4,2,2,4457,94,0,88,42,0,3,0,901,315,23,2643,1,17,9,0,36,3,135,0,0,2036,1,4,0,0,0,34,3671,0,0,0,0,121,2526,1759,0,153,0,0,7,1,5,1,6,0,662,1,22,1,162,11,6,1343,22,8,8,3,2093,892,0,3062,4070,4595,1420,1642,128,180,1,1481,2,0,1156,120,1,0,3,1,1,1165,15,0,5733,4599,4787,2895,4,590,8,38,10,3766,4,0,10,6,0,0,1,3,133,2,194,2,0,0,2,2514,0,21,49,8,2,4,55,1,5,28,4,4,0,2,0,9,3,0,2,0,0,2,193,0,1295,7,2,0,0,3,21,1,5,2,0,0,145,374,19,325,2,11,2916,5963,2365,228,1808,4407,1,5450,5626,2698,3712,0,0,7,26,129,0,1229,20,0,3084,5,0,0,0,2,231,199,8,4,1,133,570,1749,3039
16,0,0,912,0,3,697,5,0,41,4,81,3644,28,0,1,125,2,4,4,3,4,0,1049,381,6,0,33,3,0,1,1,436,8,0,27,85,3,3,266,925,427,4775,0,706,0,3,10732,134,3659,2,271,1,24,0,9,0,0,0,1,98,22,0,0,436,161,1,8905,14,57,1,3,1,957,2048,9,0,2,9269,224,1,109,48,0,8,0,2979,1373,45,7083,1,26,38,2,59,1,290,2,0,7348,4,5,0,0,0,66,9734,5,0,0,2,223,7198,4644,0,273,2,0,3,0,3,0,6,2,2576,5,14,1,206,20,1,7722,22,16,8,5,4834,9474,2,8021,9317,10925,4374,3831,486,355,1,3376,5,0,3004,247,0,1,3,2,15,3993,8,7,15790,14676,10864,9028,11,1834,5,79,2,12955,0,0,10,3,0,0,24,4,238,3,434,0,0,1,2,11735,1,52,136,11,3,6,135,10,28,40,16,8,0,4,0,16,2,0,1,1,35,2,601,3,3110,1,2,1,20,24,43,1,17,6,0,1,330,1059,42,667,4,35,7929,12401,7472,518,5755,13575,2,15400,16648,7040,9292,1,6,3,69,279,0,5189,33,3,7049,2,2,1,0,4,457,399,26,4,3,218,1471,4858,6103
9,0,0,1128,0,1,700,7,0,55,1,91,4052,14,0,1,126,4,6,1,2,28,1,1291,406,7,0,45,2,0,1,5,534,28,2,50,159,1,3,336,1094,506,5449,0,845,0,0,12536,197,4236,3,328,5,43,1,11,0,0,0,0,105,13,6,1,549,211,0,10586,17,60,2,4,0,1143,2514,7,4,2,11385,268,1,160,55,0,13,0,3616,1675,44,8181,8,27,28,0,72,2,374,2,0,8097,1,4,1,0,0,88,11491,0,0,0,0,291,8205,5823,0,332,0,0,5,0,4,0,2,2,3133,8,28,2,235,29,1,7524,25,24,7,5,5512,9349,0,8537,10013,12631,4653,4827,588,447,1,4750,2,1,3422,326,1,0,0,0,16,4666,15,8,16226,16426,11954,10222,7,2196,5,60,6,15448,4,0,7,3,0,0,10,10,274,8,504,4,0,0,4,13442,0,50,154,19,4,6,145,10,32,52,14,7,0,3,1,25,2,0,2,0,76,2,814,22,3589,3,1,0,20,14,49,1,15,5,0,1,271,1210,59,729,6,34,9074,13323,9145,757,6782,15175,7,16841,19395,8041,10013,0,2,0,63,296,0,6610,48,2,8389,2,2,4,1,1,677,527,16,4,1,190,1790,5125,6582
20,0,3,1641,0,0,893,7,2,41,5,108,4201,23,0,3,162,3,4,1,2,4,0,1454,652,12,0,32,0,0,0,3,651,23,1,93,204,2,4,398,1628,771,6091,0,1142,0,8,15029,300,5009,1,348,2,43,2,11,0,0,5,4,162,28,11,1,813,239,5,12943,17,65,1,9,1,1871,3071,4,3,2,15708,443,0,136,58,0,12,0,4001,1652,46,9487,8,15,37,3,110,0,587,4,0,8708,2,3,0,0,0,107,13552,1,1,0,0,440,8783,7528,1,525,0,3,9,1,8,1,10,2,3321,5,55,3,290,29,4,7076,22,20,15,6,6725,8050,0,9153,11947,12979,4838,5979,683,464,5,6695,4,2,3887,458,5,0,5,0,13,6167,24,18,15526,15268,12243,11561,10,2851,12,126,9,16286,1,0,7,8,0,0,6,10,340,7,801,5,2,0,6,14597,0,77,243,26,1,5,148,21,31,71,14,24,0,8,1,47,2,0,0,28,108,2,936,2,4361,4,2,0,22,21,39,1,11,10,1,1,379,1576,71,796,6,52,10088,14760,10107,1081,7316,16445,9,18168,18798,8680,11284,1,3,7,104,485,0,7465,57,1,10741,3,0,4,1,3,939,806,23,9,0,263,2044,5874,8864
13,0,0,2674,0,0,1281,8,24,32,2,109,3243,37,0,2,283,2,2,2,3,1,0,1596,751,10,0,32,4,0,0,1,634,13,9,268,471,0,5,418,2333,1094,5809,0,1465,0,1,16433,455,5492,1,389,1,47,4,12,0,1,1,3,279,37,5,0,692,194,3,14280,21,56,6,2,0,1940,3249,6,1,2,26571,758,2,179,72,0,24,0,3553,1051,67,11545,8,29,49,3,110,1,765,1,0,7358,0,4,0,0,0,172,15687,2,0,0,1,709,10898,10265,0,613,1,0,10,4,5,1,6,3,2629,3,46,1,347,20,5,6270,37,21,10,10,7290,4774,0,7154,12921,14342,5326,8046,1259,607,4,13077,2,3,4583,494,3,0,2,0,19,8404,83,11,12783,11950,11303,11818,7,2483,12,108,13,15065,2,0,20,5,0,0,17,21,453,3,1022,2,2,0,3,14600,0,101,329,38,4,5,182,15,56,50,12,32,23,0,3,58,0,0,1,0,46,4,849,1,5481,4,6,0,14,14,65,1,15,16,0,1,411,2674,144,1059,4,49,9679,14646,9049,1504,6009,17738,10,15677,15659,10063,13135,1,8,1,109,428,0,7973,77,6,15479,3,0,0,1,4,1904,1467,25,9,3,307,2176,6301,11226
25,0,1,2364,0,0,1448,4,2,53,4,85,2639,29,0,5,363,5,3,4,6,6,1,1458,663,6,1,34,5,0,1,3,575,7,7,273,490,1,11,390,1771,803,4231,1,1072,0,4,13911,477,5333,3,366,0,30,3,20,0,1,0,2,356,50,8,2,590,205,4,11489,20,58,7,9,1,1729,2774,24,3,3,21582,1008,0,163,72,0,13,0,2986,854,65,9531,7,29,33,1,88,2,655,3,0,5497,3,4,0,0,0,186,12519,1,0,0,2,920,7826,8095,0,575,0,0,13,1,1,2,7,6,2232,6,66,2,382,18,2,7144,33,28,6,12,6149,6710,0,5923,10684,10581,4683,6415,1024,562,5,10741,4,1,3994,520,5,0,4,0,28,6454,65,16,8662,8966,8071,9503,14,2044,11,127,10,12413,4,0,26,4,1,0,17,9,498,2,1080,0,0,1,4,11042,0,121,322,41,2,4,138,11,49,77,21,48,1,9,0,39,3,0,3,1,6,3,797,2,4201,4,5,1,14,24,62,2,9,20,1,1,500,2218,121,991,8,93,7937,11114,7444,1331,5119,13542,12,11847,10791,8396,11049,2,8,5,166,495,3,6983,53,5,11793,6,0,1,2,5,1925,1348,36,14,7,360,1566,5277,9334
19,0,3,793,0,0,1157,6,1,34,2,54,3122,18,0,3,183,13,4,4,1,32,0,974,434,10,0,42,0,0,0,3,551,20,2,58,222,0,4,360,1349,731,4047,0,696,1,8,9903,210,3312,1,403,3,34,3,23,0,0,0,8,142,27,3,1,513,210,1,8061,19,79,4,4,3,1536,2536,16,2,7,8474,321,1,284,139,0,13,0,2642,1091,34,5944,5,70,29,7,106,1,519,2,0,6504,4,5,0,0,0,95,8294,1,0,0,0,353,5769,4043,0,467,0,0,36,3,8,1,3,7,2249,6,35,1,470,29,3,7386,32,36,18,9,4543,6697,3,7215,8144,8338,3276,3439,1346,644,6,3062,5,1,2391,389,3,0,2,0,22,3170,43,19,11667,12924,9622,8109,9,2354,18,95,12,11508,4,0,35,14,1,0,15,9,391,5,768,6,0,1,8,11600,0,76,145,12,4,19,197,15,29,71,17,15,0,7,0,21,4,0,1,0,31,0,512,1,2680,6,9,0,11,23,86,7,20,11,0,1,403,857,100,1865,6,38,6592,11679,6635,527,5178,11200,17,11939,13746,5631,7374,0,7,9,94,389,0,5785,63,4,5561,8,0,2,0,5,745,691,40,6,2,507,1409,3635,4867
13,0,1,943,0,1,927,8,3,75,1,93,3895,26,1,0,155,6,3,5,0,8,0,1236,483,7,0,54,5,0,0,3,600,20,5,40,141,1,8,410,1609,872,5134,0,881,0,3,12054,234,3829,4,367,3,39,0,20,0,0,0,6,135,37,3,1,539,242,2,10005,24,74,8,5,1,1845,2818,10,2,11,9527,273,1,158,71,0,21,0,3528,1749,60,7476,9,24,38,7,122,2,457,5,0,7898,1,6,0,0,0,81,10243,1,0,0,2,332,7633,5293,0,508,0,0,13,1,6,0,12,5,2892,5,47,4,317,57,11,8346,25,60,20,10,5081,11435,1,8515,9557,11791,4194,4530,692,490,4,3920,3,2,2908,456,3,1,6,1,32,4261,33,6,16402,16986,12581,10214,6,2809,18,118,16,14315,5,0,19,9,0,0,7,10,324,0,646,17,1,0,6,12493,0,93,159,28,3,10,181,19,27,53,17,8,0,5,0,31,2,0,2,0,33,6,777,3,3654,9,6,1,18,11,48,2,13,14,0,2,417,913,75,956,5,52,8581,14858,9103,689,6442,14862,21,15170,18048,7114,8795,1,5,13,102,550,0,7268,83,4,7245,5,0,2,0,9,582,572,30,8,3,330,1817,4319,5683
16,0,1,1007,2,0,721,8,2,33,0,90,4077,23,1,2,155,2,2,3,0,4,0,1170,438,22,0,31,2,0,2,3,531,25,3,66,142,1,4,335,1377,646,5265,0,821,0,4,12141,185,3702,1,299,2,32,0,14,0,1,0,2,117,18,3,0,537,195,0,10094,16,76,6,18,0,1433,2822,12,3,6,10220,260,0,130,57,0,11,0,3570,1756,52,8104,7,37,39,3,86,2,353,0,0,7896,1,3,0,0,0,90,10982,2,0,0,0,311,7626,5406,0,435,0,0,10,0,5,1,2,2,2835,3,50,3,214,61,2,5997,29,27,8,8,5162,8665,0,8349,9679,11852,4278,4538,610,413,1,4255,1,1,3190,415,3,0,0,0,15,4578,31,10,15901,16167,12332,10470,5,2447,12,84,6,14657,1,0,8,8,0,0,9,6,255,4,506,10,1,0,0,12839,0,70,159,14,13,3,122,22,24,44,6,7,0,1,0,24,1,0,0,5,39,1,794,3,3530,2,8,0,16,22,54,0,14,7,0,0,309,1055,74,726,6,42,8904,14158,8846,670,6138,14753,5,15470,17376,7612,9384,1,6,3,72,436,0,6697,48,1,8120,4,1,0,0,5,588,574,21,6,0,248,1730,5108,6291
29,0,2,1203,0,1,796,8,2,43,1,107,4261,18,1,20,176,2,9,2,1,10,0,1383,447,14,0,24,2,0,1,0,559,23,3,79,206,2,1,315,1491,632,5836,0,996,0,4,13765,218,4103,0,317,5,30,0,12,0,1,0,1,139,27,1,3,582,222,2,11229,29,67,7,2,0,1533,3037,6,1,2,12625,325,4,123,62,0,7,0,3884,1829,53,8940,5,42,58,3,106,2,451,2,0,8353,2,4,0,0,0,90,12291,2,0,0,1,304,8618,6572,0,494,2,0,16,1,1,0,4,2,3109,5,37,2,236,26,4,6365,44,28,10,8,5588,8600,0,9033,11426,13080,4740,5030,589,449,3,5430,0,0,3626,436,5,1,2,0,20,5168,20,5,16707,16906,13289,11284,10,2989,7,128,3,16187,0,1,8,2,1,0,5,10,344,0,519,2,1,0,1,13798,0,58,172,26,6,7,188,17,19,61,17,8,1,2,0,31,4,0,0,0,58,1,802,3,3794,1,4,2,26,19,75,1,13,10,2,2,359,1250,72,769,8,35,9495,15733,10050,904,6929,15859,4,17838,18821,8519,10799,0,5,7,99,434,0,6695,76,1,9281,5,0,1,0,1,718,615,24,7,2,241,1960,5539,7431
41,1,0,1508,0,1,916,8,3,46,2,89,4271,18,0,1,195,2,8,4,1,29,0,1601,609,10,0,24,1,0,1,1,648,20,8,108,230,1,2,349,1724,864,5859,1,1134,0,7,14722,314,4176,5,394,3,39,1,14,0,0,0,2,149,41,1,0,604,240,1,12010,24,78,7,4,0,1911,3280,17,1,2,15637,361,1,139,86,0,12,0,3996,1803,42,9423,4,28,32,1,99,0,625,1,0,8185,1,12,0,0,0,96,13478,2,0,0,0,422,8876,7222,1,570,0,0,10,2,8,1,28,5,3070,8,56,1,296,29,5,6467,30,38,7,7,6691,8300,1,9156,12014,13473,5015,5568,765,545,6,6844,3,0,3896,491,4,1,3,1,18,6060,33,13,15602,14984,12289,11159,13,2831,12,115,7,15755,6,1,10,8,0,0,12,11,360,5,788,8,2,0,3,13881,0,67,211,14,2,6,206,9,25,64,8,17,0,5,0,52,1,0,1,1,51,2,918,3,4280,3,6,1,24,16,46,1,12,17,1,3,426,1525,106,839,2,58,10718,14819,9997,1021,7102,16197,15,17441,18088,8437,11181,0,4,8,110,557,0,6524,88,5,10733,8,0,1,1,4,984,839,22,11,0,280,1931,5787,8278
25,1,2,2451,0,0,1304,9,0,30,3,111,3227,27,2,2,318,2,3,1,6,8,1,1563,713,17,0,42,6,1,1,3,539,15,4,216,401,0,3,415,2334,1024,5324,0,1251,0,6,15116,454,4690,4,359,1,34,2,19,0,0,0,4,248,33,4,1,656,175,5,13501,23,47,4,8,3,1803,3032,19,3,3,24156,743,2,213,77,1,11,0,3421,1059,75,11093,7,34,20,1,137,3,712,4,0,7069,2,13,1,0,0,137,15363,1,0,0,2,726,9615,9505,0,600,0,1,18,2,6,0,8,4,2705,9,57,0,370,29,7,5663,33,20,12,9,7004,3619,1,6548,12077,13134,5014,7342,1225,656,9,12000,1,1,4396,438,8,29,1,0,26,7860,73,10,12560,11416,10786,11445,16,2390,8,137,13,14955,4,2,21,5,0,0,26,6,411,4,915,12,1,0,7,13472,0,107,331,52,23,6,168,9,24,52,11,38,0,7,1,74,2,0,2,1,3,7,851,2,5118,11,5,0,19,21,52,2,6,16,1,0,421,2522,107,1030,11,79,9273,12684,8473,1436,5625,16947,14,14561,14350,9262,12718,3,5,7,121,466,0,6498,57,3,14842,11,0,1,2,3,1779,1372,31,17,1,339,1971,5988,10765
25,1,1,2172,0,0,1315,10,0,40,5,88,2456,27,3,3,386,11,5,4,10,10,4,1340,594,15,0,20,1,0,5,1,432,4,12,309,428,3,8,328,1992,824,4390,1,1116,0,7,12903,397,4123,3,290,2,23,4,23,0,0,0,4,348,42,6,0,484,176,6,11567,36,63,2,6,1,1660,2602,12,4,7,20876,920,3,184,89,0,10,0,2497,765,67,9223,5,28,57,3,99,2,687,0,0,6077,0,13,9,0,0,157,11979,0,0,0,0,682,7773,7597,2,534,0,1,18,2,10,3,8,8,2321,6,69,4,388,26,6,7115,37,24,8,10,5392,7905,1,5191,9422,10730,4227,6272,907,532,4,11802,2,1,3672,485,10,1,4,5,29,6253,38,9,10068,9236,8989,9276,15,2029,13,116,14,11669,2,0,31,4,1,0,36,8,453,4,946,3,0,3,9,12350,0,98,323,33,1,6,171,16,51,62,40,54,0,2,1,89,1,0,0,0,5,12,654,2,4187,9,4,0,11,23,95,2,13,19,0,2,445,1862,125,907,14,74,7150,11735,7116,1475,4435,13115,15,11252,10230,8090,10672,1,8,8,103,417,0,5434,60,3,12163,8,0,5,1,5,1821,1345,28,9,4,326,1471,4698,8338
21,0,1,993,0,0,670,6,1,51,2,94,3682,31,1,3,126,5,6,2,4,12,0,1087,368,12,0,16,2,0,0,1,444,13,2,62,121,1,4,316,1227,539,4615,0,829,0,7,10590,148,3620,1,280,5,24,4,10,0,1,0,6,115,22,0,0,410,159,3,8806,31,56,8,3,2,1239,2339,3,3,1,9024,203,1,148,45,0,10,0,2986,1374,36,7099,8,20,55,2,66,13,348,22,0,7745,1,7,0,0,0,76,9524,1,0,0,1,234,7320,4733,0,369,0,0,4,2,1,0,3,1,2934,4,24,1,267,24,1,7514,29,29,10,4,5070,8733,1,7884,9021,10609,4008,3954,430,413,1,3447,5,0,3015,336,3,1,2,0,18,3967,22,5,17168,15421,11438,8962,16,2119,3,97,6,13230,3,1,9,1,0,0,9,6,267,1,532,2,0,0,4,12481,0,45,134,25,1,6,134,19,23,43,12,19,1,2,0,41,3,0,1,0,31,5,626,1,3291,5,2,0,27,12,42,1,18,9,1,1,292,1073,57,729,1,29,7806,12262,7399,596,5715,13662,4,14876,15671,7045,8653,1,6,4,88,401,1,4852,50,4,6803,4,0,1,2,3,545,422,23,6,3,257,1596,4443,5876
18,0,0,977,0,0,723,8,28,46,2,116,4089,13,0,0,128,3,3,4,2,4,0,1169,439,18,0,21,0,0,0,3,461,11,3,49,115,0,4,307,1188,500,5194,0,900,0,3,11890,191,3692,1,296,6,31,1,7,0,1,0,2,89,18,2,2,534,201,4,10185,18,50,6,4,0,1279,2550,6,1,0,10190,248,2,139,76,0,10,0,3502,1785,46,8044,4,44,30,1,71,3,379,1,0,8509,0,5,0,0,0,102,10690,1,0,0,1,251,8041,5394,0,378,0,2,11,2,5,0,3,1,3174,1,22,0,205,34,3,7114,38,14,3,4,5304,9577,1,8437,9787,12596,4556,4508,601,453,1,4197,4,0,3259,373,1,0,0,0,17,4675,24,10,18114,17195,12703,9993,6,2410,5,77,5,14891,0,0,12,5,0,0,7,7,266,2,504,6,0,1,0,12878,0,68,140,19,1,11,133,9,22,50,16,11,0,2,0,38,1,0,1,0,61,1,700,2,3929,5,5,0,22,20,33,2,21,7,0,0,293,1101,53,743,2,38,8708,14163,8785,715,6571,15304,7,16398,18578,7459,9319,0,2,4,65,378,0,5950,45,3,7983,2,0,5,1,0,547,466,26,6,4,260,1888,5140,6516
16,0,1,1033,0,0,708,5,4,48,0,117,4205,10,0,4,149,1,5,4,1,21,1,1230,449,13,0,31,1,0,1,2,552,20,2,65,145,3,3,316,1214,545,5444,0,857,0,6,12949,210,4097,0,325,1,50,1,12,0,0,1,0,112,19,3,1,566,218,0,11649,20,72,3,1,1,1296,2633,22,4,3,11871,321,2,122,48,0,12,0,3757,1914,54,8633,5,15,42,1,70,0,469,2,0,8477,0,2,0,0,0,91,12031,1,0,0,0,282,8555,5990,0,383,4,3,8,3,2,1,3,2,3144,1,25,1,182,29,2,7122,39,16,8,4,5585,9460,2,8351,10216,13001,4761,4697,605,448,4,5038,9,2,3337,361,3,0,4,0,14,5367,15,5,17509,17314,13323,10633,10,2406,13,102,7,15638,2,0,7,2,1,0,8,8,273,3,566,4,1,0,3,13774,0,51,122,17,4,6,120,14,33,47,17,14,0,2,0,16,4,0,0,0,54,4,746,2,4075,2,2,0,29,18,63,2,9,8,0,0,265,1239,67,640,6,36,9559,15065,9321,743,6814,16037,17,16889,18642,7905,10086,0,4,5,51,344,0,6472,48,2,9187,5,0,0,1,2,747,597,21,10,3,197,1954,5386,6709
31,0,4,1294,1,2,761,5,2,69,2,109,4287,27,2,2,167,4,3,5,1,5,0,1289,471,5,0,26,0,0,0,0,493,16,2,59,177,3,2,307,1361,585,5314,0,868,0,5,14244,211,4528,4,308,1,40,0,12,0,0,1,0,126,24,4,0,598,185,4,13051,11,69,2,5,1,1387,2592,13,1,1,13559,281,1,110,60,0,6,5,3978,1914,43,8939,10,37,41,2,71,0,511,2,0,8641,2,1,0,0,0,72,12610,1,0,0,0,316,8343,6209,1,385,2,0,13,3,4,0,1,1,3418,1,36,0,201,34,2,7370,35,44,8,9,6159,10530,1,8686,10685,15016,5006,5372,582,434,3,6035,1,1,3537,365,2,0,5,0,17,5771,25,8,16320,17336,12910,10333,7,2731,10,86,9,16397,1,0,12,1,1,0,9,8,297,3,630,6,1,1,4,13822,0,58,175,17,3,11,138,24,27,61,11,8,0,5,0,28,1,0,1,0,62,2,882,2,4389,4,4,0,18,18,37,1,16,9,0,2,338,1413,45,698,3,54,9639,14818,9797,899,7414,14152,1,16725,18223,8431,10632,1,9,1,83,392,0,7716,46,3,9218,4,0,1,2,4,866,709,16,4,0,203,2042,5376,7196
